,Loại tin,Mã tin,Link,Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Title,Address,Đường vào,Mặt tiền,Check,Hướng ban công,Ngày đăng,Ngày hết hạn,Category
43,Tin VIP Bạc,41505640,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-gia-tri-phuong-25/toa-tot-t-thi-truong-mt-q-bt-8x20m-h7tag-hdt-350tr-115-ty-tl-cuc-soc-pr41505640,160 m²,115 tỷ,,7 tầng,,,Sổ đỏ/ Sổ hồng,,"TÒA NHÀ TỐT NHẤT THỊ TRƯỜNG MT Nguyễn Gia Trí, Q.BT. 8x20m, H7Tầg, HĐT 350tr, 115 tỷ TL GIÁ CỰC SỐC","Đường Nguyễn Gia Trí, Phường 25, Bình Thạnh, Hồ Chí Minh",,8 m,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
44,Tin VIP Bạc,41505080,https://batdongsan.com.vn/ban-nha-mat-pho-duong-ly-chinh-thang-phuong-9-5/hang-doc-tai-ban-20-ty-81-3m2-5-tang-5-pn-day-du-noi-that-pr41505080,"81,3 m²",20 tỷ,,5 tầng,5 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,"HÀNG ĐỘC TẠI ĐƯỜNG LÝ CHÍNH THẮNG, BÁN NHÀ MẶT PHỐ, 81.3M2 5 tầng 5 PN, ĐẦY ĐỦ NỘI THẤT","Đường Lý Chính Thắng, Phường 9, Quận 3, Hồ Chí Minh",,,Chưa Xác Thực,,12/11/2024,22/11/2024,Nha Mat Pho
45,Tin VIP Bạc,35680186,https://batdongsan.com.vn/ban-nha-mat-pho-duong-mai-thi-luu-phuong-da-kao/ban-gap-con-moi-p-quan-1-dt-4-x22-ket-cau-tret-3-lau-st-gia-28-ty-pr35680186,88 m²,28 tỷ,,4 tầng,4 phòng,,Sổ hồng,,"Bán gấp nhà còn mới Mai Thị Lựu, P. Đa Kao, Quận 1. DT: 4x22m, kết cấu: Trệt 3 lầu, ST. Giá 28 tỷ","Đường Mai Thị Lựu, Phường Đa Kao, Quận 1, Hồ Chí Minh",30 m,4 m,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
46,Tin VIP Bạc,39500670,https://batdongsan.com.vn/ban-nha-mat-pho-duong-xuan-thuy-phuong-thao-dien-1/tai-san-tien-p-tp-thu-duc-pr39500670,"1.403,8 m²",290 triệu/m²,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Tài sản mặt tiền Xuân Thủy, P. Thảo Điền, TP. Thủ Đức","Đường Xuân Thủy, Phường Thảo Điền, Thủ Đức, Hồ Chí Minh",,,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
47,Tin VIP Bạc,39418044,https://batdongsan.com.vn/ban-nha-mat-pho-duong-vo-van-tan-phuong-6-7/ban-toa-mtkd-dep-quan-huong-xua-p6-q3-tp-hcm-pr39418044,610 m²,800 tỷ,,3 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Bán tòa nhà MTKD đường đẹp Võ Văn Tần (quán Hương Xưa), P6, Q3, TP. HCM","Đường Võ Văn Tần, Phường 6, Quận 3, Hồ Chí Minh",,,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
48,Tin VIP Bạc,39678010,https://batdongsan.com.vn/ban-nha-mat-pho-duong-ben-van-don-phuong-phuong-9-2/ban-building-tien-p9-q4-gia-150-ty-pr39678010,"244,4 m²",150 tỷ,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Bán building mặt tiền Bến Vân Đồn P9 Q4, giá 150 tỷ","Đường Bến Vân Đồn, Phường 9, Quận 4, Hồ Chí Minh",,,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
49,Tin VIP Bạc,40629907,https://batdongsan.com.vn/ban-nha-mat-pho-duong-suong-nguyet-anh-phuong-ben-thanh/danh-sach-cac-bat-dong-san-co-gia-tri-cao-toa-lac-tai-vi-tri-dac-dia-trung-tam-sai-gon-pr40629907,914 m²,880 tỷ,,11 tầng,,,,,"Danh sách các bất động sản có giá trị cao, tọa lạc tại vị trí đắc địa trung tâm Sài Gòn","Số 3, Đường Sương Nguyệt Ánh, Phường Bến Thành, Quận 1, Hồ Chí Minh",,22 m,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
50,Tin VIP Bạc,41503913,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-quang-khai-phuong-tan-dinh-2/ban-tien-156-trung-tam-quan-1-pr41503913,277 m²,120 tỷ,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,Không nội thất,"Bán mặt tiền 156 Trần Quang Khải, trung tâm Quận 1","Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh",20 m,"7,7 m",Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
51,Tin VIP Bạc,41503868,https://batdongsan.com.vn/ban-nha-mat-pho-duong-lam-van-ben-phuong-tan-kieng/-tien-kd-quan-7-4-1-40m-no-hau-8m-gia-cuc-uu-dai-chi-32-ty-tl-pr41503868,230 m²,32 tỷ,,,,,Sổ đỏ/ Sổ hồng,,"Mặt tiền KD, Lâm Văn Bền Quận 7, 4.1*40m nở hậu 8m, giá cực ưu đãi, chỉ 32 tỷ ( TL )","Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",,,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
52,Tin VIP Bạc,41503788,https://batdongsan.com.vn/ban-nha-mat-pho-duong-lam-van-ben-phuong-tan-kieng/ban-kinh-doanh-gia-32-ty-dt-228m2-phap-ly-day-du-sieu-hoi-pr41503788,230 m²,32 tỷ,,3 tầng,,,Sổ đỏ/ Sổ hồng,,"NHÀ MT KINH DOANH LÂM VĂN BỀN NGANG 4m NỞ HẬU 8m, GIÁ 32 TỶ, DT 230M2, PHÁP LÝ ĐẦY ĐỦ, GIÁ SIÊU HỜI","Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",,17 m,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
53,Tin VIP Bạc,41497808,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-quang-khai-phuong-tan-dinh-2/toa-tien-1-ham-7-tang-1300m2-san-hdt-300-trieu-thang-con-6-nam-gia-ban-89-9-ty-pr41497808,200 m²,"89,9 tỷ",,7 tầng,7 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Tòa nhà mặt tiền 1 hầm 7 tầng, 1300m2 sàn. HĐT: 300 triệu/tháng/còn 6 năm. Giá bán: 89,9 tỷ","Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh",,15 m,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
54,Tin VIP Bạc,41503090,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tinh-lo-10-phuong-tan-tao/ban-gap-160m2-10-13-5-ty-vnd-pr41503090,124 m²,"13,5 tỷ",Bắc,1 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Cắt lỗ 1 tỷ bán gấp nhà mặt phố 160m2 đường Tỉnh Lộ 10,"Đường Tỉnh Lộ 10, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",10 m,4 m,Chưa Xác Thực,Bắc,12/11/2024,27/11/2024,Nha Mat Pho
55,Tin VIP Bạc,41476930,https://batdongsan.com.vn/ban-nha-mat-pho-duong-3-2-2-phuong-2-19/ban-toa-2-tien-3-thang-2-7-tang-khong-loi-phong-thuy-trung-tam-sai-gon-gia-25-ty-pr41476930,65 m²,25 tỷ,,7 tầng,21 phòng,21 phòng,Sổ đỏ/ Sổ hồng,,"Bán tòa nhà 2 mặt tiền đường 3 Tháng 2 - 7 tầng, không lỗi phong thủy trung tâm Sài Gòn giá 25 tỷ","Đường 3/2, Phường 2, Quận 11, Hồ Chí Minh",,"4,2 m",Chưa Xác Thực,,09/11/2024,16/11/2024,Nha Mat Pho
56,Tin VIP Bạc,41501073,https://batdongsan.com.vn/ban-nha-mat-pho-duong-dong-den-phuong-14-10/-tien-p14-tan-binh-dt-4-3-x-18m-2-tang-16ty8-hoa-hong-1-pr41501073,"77,4 m²","16,8 tỷ",,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,"Mặt Tiền Đồng đen, p14, Tân Bình , dt : 4,3 x 18m . 2 tầng . 16tỷ8. Hoa hồng 1%.","171 Đường Đồng Đen, Phường 14, Tân Bình, Hồ Chí Minh",,18 m,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
57,Tin VIP Bạc,41476457,https://batdongsan.com.vn/ban-nha-mat-pho-duong-bach-dang-phuong-15-5/ban-gia-uu-dai-chi-22-5-ty-dien-tich-70m2-pr41476457,70 m²,"22,5 tỷ",Bắc,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,"BÁN NHÀ MẶT PHỐ ĐƯỜNG BẠCH ĐẰNG, GIÁ ƯU ĐÃI CHỈ 22,5 TỶ, DIỆN TÍCH 70M2","Đường Bạch Đằng, Phường 15, Bình Thạnh, Hồ Chí Minh",30 m,,Chưa Xác Thực,Bắc,09/11/2024,19/11/2024,Nha Mat Pho
58,Tin VIP Bạc,40638282,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-thai-binh-phuong-12-10/ban-gap-tien-138-4-tang-moi-6ty9-pr40638282,26 m²,"6,45 tỷ",,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,"Bán gấp mặt tiền 138 Nguyễn Thái Bình, 4 tầng mới. 6tỷ450","138, Đường Nguyễn Thái Bình, Phường 12, Tân Bình, Hồ Chí Minh",,"4,5 m",Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
59,Tin thường,41086352,https://batdongsan.com.vn/ban-nha-mat-pho-phuong-tan-phong-9/ban-kdc-quy-dong-6x15m-4-g-san-thuong-dep-pr41086352,90 m²,"15,8 tỷ",,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,Bán nhà KDC Tân Quy Đông (6x15m) 4 tầng + sân thượng nhà đẹp,"Phường Tân Phong, Quận 7, Hồ Chí Minh",10 m,6 m,TIN XÁC THỰC,,12/11/2024,22/11/2024,Nha Mat Pho
60,Tin thường,41097088,https://batdongsan.com.vn/ban-nha-mat-pho-phuong-tan-quy/ban-duong-so-so-hong-4x20m-tret-lung-3-lau-full-noi-that-dep-pr41097088,72 m²,"15,5 tỷ",,5 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,Bán nhà đường số Tân Quy (sổ hồng 4x20m) trệt + lửng + 3 lầu full nội thất đẹp,"Phường Tân Quy, Quận 7, Hồ Chí Minh",14 m,4 m,TIN XÁC THỰC,,12/11/2024,22/11/2024,Nha Mat Pho
61,Tin thường,40992648,https://batdongsan.com.vn/ban-nha-mat-pho-duong-huynh-tan-phat-phuong-tan-phu-19/ban-quan-7-dt-4-6x20m-so-hong-gia-tot-pr40992648,92 m²,"15,8 tỷ",Đông,2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,"Bán nhà Huỳnh Tấn Phát, Quận 7 (DT 4,6x20m) sổ hồng, giá tốt","Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",30 m,"4,6 m",TIN XÁC THỰC,,12/11/2024,22/11/2024,Nha Mat Pho
62,Tin thường,40953277,https://batdongsan.com.vn/ban-nha-mat-pho-duong-672-phuong-phuoc-long-b/an-iet-thu-3-tang-12-2x19m-vi-tri-vip-tien-gan-xa-lo-ha-noi-p-q9-pr40953277,"229,9 m²","23,5 tỷ",Đông - Bắc,3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,"Bán biệt thự 3 tầng 12,2x19m, vị trí VIP. Mặt tiền gần đường Xa Lộ Hà Nội, P Phước Long B, Q9","Đường 672, Phường Phước Long B, Quận 9, Hồ Chí Minh",,"12,2 m",TIN XÁC THỰC,,12/11/2024,22/11/2024,Nha Mat Pho
63,Tin thường,41118404,https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-42-phuong-binh-trung-dong/ban-toa-1-ham-6-lau-789m2-chi-38-ty-42-p-q2-ke-benh-vien-le-van-th-pr41118404,202 m²,38 tỷ,,7 tầng,21 phòng,21 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,"Bán tòa nhà 1 hầm 6 lầu sàn 789m2 chỉ 38 tỷ. Đường Số 42, P Bình Trưng Đông, Q2. Kế BV Lê Văn Thịnh","Đường Số 42, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",,"8,4 m",TIN XÁC THỰC,,12/11/2024,22/11/2024,Nha Mat Pho
64,Tin thường,41271065,https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-4-phuong-an-phu/b-tien-4-khu-4-p-q2-dt-6m-x-9-25m-gia-11-ty-g-vincom-mega-mall-pr41271065,"54,4 m²",11 tỷ,Tây - Nam,1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,"Bán nhà mặt tiền đường Số 4, khu phố 4, P.An Phú, Q2. DT 6m x 9,25m giá 11 tỷ. Gần Vincom Mega Mall","39A, Đường Số 4, Phường An Phú, Quận 2, Hồ Chí Minh",,6 m,TIN XÁC THỰC,,12/11/2024,22/11/2024,Nha Mat Pho
65,Tin thường,41505583,https://batdongsan.com.vn/ban-nha-mat-pho-duong-42-3-phuong-binh-trung-dong/-mt-42-dien-tich-145m2-xd-4-tang-5pn-5wc-co-gara-xe-hoi-gia-14-5-ty-tl-chinh-chu-pr41505583,145 m²,"14,5 tỷ",,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Nhà MT Đường 42, diện tích 145m2 XD 4 tầng 5PN 5WC có gara xe hơi. Giá 14.5 tỷ TL chính chủ","Đường 42, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",,,Chưa Xác Thực,,12/11/2024,22/11/2024,Nha Mat Pho
66,Tin thường,41491558,https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-loi-1-phuong-4-18/ban-rieng-4-go-vap-18-2-ty-vnd-131-1m2-pr41491558,"131,1 m²","18,2 tỷ",Tây,1 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,"Bán nhà đường Lê Lợi, Phường 4, Gò Vấp, 18,2 tỷ vnd, 131,1m2","Đường Lê Lợi, Phường 4, Gò Vấp, Hồ Chí Minh",,8 m,TIN XÁC THỰC,Tây,11/11/2024,21/11/2024,Nha Mat Pho
67,Tin thường,41495780,https://batdongsan.com.vn/ban-nha-mat-pho-duong-mieu-go-xoai-phuong-binh-hung-hoa-a/-moi-4-5-tam-4x20m-sieu-dep-full-noi-that-mtkd-so-14-le-van-quoi-pr41495780,80 m²,"8,8 tỷ",Bắc,5 tầng,6 phòng,7 phòng,Sổ đỏ/ Sổ hồng,,"Nhà mới 4,5 tấm 4x20m siêu đẹp full nội thất MTKD Miếu Gò Xoài - Đường Số 14, Lê Văn Quới","Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",12 m,4 m,TIN XÁC THỰC,Bắc,11/11/2024,21/11/2024,Nha Mat Pho
68,Tin VIP Bạc,40511495,https://batdongsan.com.vn/ban-nha-mat-pho-duong-chu-dong-tu-phuong-7-12/-tien-4-tang-39-cmt8-p-7-tan-binh-3-8x16m-san-hd-thue-20tr-gia-11ty5-tl-pr40511495,57 m²,"9,3 tỷ",,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,"Mặt tiền 4 tầng 39 Chử Đồng Tử - CMT8, P.7, Tân Bình, 3,8x16m, sẵn HĐ thuê 20tr. Giá 9tỷ3 TL","39, Đường Chử Đồng Tử, Phường 7, Tân Bình, Hồ Chí Minh",,,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
69,Tin VIP Bạc,41082432,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-mai-ninh-phuong-12-10/-tien-dt-3-5x17m-ket-cau-1-tret-2-lau-san-gia-9ty8-hh-1-pr41082432,57 m²,"8,9 tỷ",,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,"Giảm sâu Mặt tiền Trần Mai Ninh, DT: 3,5x17m, kết cấu: 1 trệt 2 lầu sẵn, giá 8tỷ9. HH 1%","10 Đường Trần Mai Ninh, Phường 12, Tân Bình, Hồ Chí Minh",,"3,5 m",Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
70,Tin VIP Bạc,41046167,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-thi-dinh-phuong-cat-lai-prj-ventura/-tien-can-ban-tp-thu-duc-pr41046167,119 m²,18 tỷ,Tây - Bắc,5 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,NHÀ MẶT TIỀN CẦN BÁN TP Thủ Đức,"Dự án Ventura, Đường Nguyễn Thị Định, Phường Cát Lái, Quận 2, Hồ Chí Minh.",16 m,7 m,Chưa Xác Thực,Tây - Bắc,12/11/2024,22/11/2024,Nha Mat Pho
71,Tin VIP Bạc,39893353,https://batdongsan.com.vn/ban-nha-mat-pho-duong-huynh-tan-phat-phuong-phu-my-9/ban-tien-ngang-11m-p-q7-dt-600m2-gia-100ty-pr39893353,600 m²,100 tỷ,,,,,,,"Bán nhà mặt tiền ngang 11m, đường Huỳnh Tấn Phát, P Phú Mỹ, Q7. DT: 600m2 (Giá 100tỷ)","Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",,11 m,Chưa Xác Thực,,12/11/2024,22/11/2024,Nha Mat Pho
72,Tin VIP Bạc,41499690,https://batdongsan.com.vn/ban-nha-mat-pho-duong-thao-dien-phuong-thao-dien/ban-gap-dinh-thu-hoang-gia-tp-thu-duc-giam-gia-manh-cho-kh-thanh-toan-nhanh-pr41499690,778 m²,186 tỷ,,,,,,,"Bán gấp dinh thự Hoàng Gia Phường Thảo Điền, TP. Thủ Đức Giảm giá mạnh cho KH thanh toán nhanh","Đường Thảo Điền, Phường Thảo Điền, Quận 2, Hồ Chí Minh",,,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
73,Tin VIP Bạc,41091246,https://batdongsan.com.vn/ban-nha-mat-pho-duong-6-4-phuong-an-lac-a/c-b-khu-co-cp-6-qu-binh-t-pr41091246,100 m²,12 tỷ,,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,"Cần bán nhà mặt phố khu cao cấp đường 6 phường An Lạc A, quận Bình Tân","Đường 6, Phường An Lạc A, Bình Tân, Hồ Chí Minh",8 m,5 m,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
74,Tin VIP Bạc,41499333,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-phuc-nguyen-phuong-10-3/can-duy-nhat-tien-quan-3-quan-3-dt-3-9-x18-m-6-tang-thang-may-chi-20-ty-pr41499333,71 m²,20 tỷ,,6 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,"Căn duy nhất! Mặt tiền Quận 3 Nguyễn Phúc Nguyên Quận 3. DT 3,9x18 m - 6 tầng thang máy chỉ 20 tỷ","Đường Nguyễn Phúc Nguyên, Phường 10, Quận 3, Hồ Chí Minh",,"3,9 m",Chưa Xác Thực,,12/11/2024,22/11/2024,Nha Mat Pho
75,Tin VIP Bạc,41498626,https://batdongsan.com.vn/ban-nha-mat-pho-duong-quang-trung-phuong-8-12/hang-doc-la-mtkd-view-goc-ngang-11m-330m2-kd-tuyet-dinh-lam-showroom-chi-45-ty-pr41498626,330 m²,45 tỷ,,2 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hàng độc lạ MTKD Quang Trung view góc ngang 11m 330m2 KD tuyệt đỉnh làm showroom chỉ 45 tỷ,"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",40 m,11 m,Chưa Xác Thực,,11/11/2024,18/11/2024,Nha Mat Pho
76,Tin VIP Bạc,41494019,https://batdongsan.com.vn/ban-nha-mat-pho-duong-ho-thi-ky-phuong-1-18/sieu-pham-tien-ki-quan-10-nhinh-10-ty-tien-kinh-doanh-pr41494019,"39,9 m²",Thỏa thuận,,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Siêu phẩm mặt tiền Hồ Thị Kỉ - Quận 10 - nhỉnh 10 tỷ - mặt tiền kinh doanh,"Đường Hồ Thị Kỷ, Phường 1, Quận 10, Hồ Chí Minh",10 m,5 m,Chưa Xác Thực,,11/11/2024,18/11/2024,Nha Mat Pho
77,Tin VIP Bạc,41496661,https://batdongsan.com.vn/ban-nha-mat-pho-duong-huynh-van-banh-phuong-12-9/giam-sau-hon-3-ty-ban-2mt-4-4x12m-4-tang-16-8-ty-phu-nhuan-pr41496661,36 m²,"16,8 tỷ",Đông - Nam,4 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Giảm sâu hơn 3 tỷ. Bán Nhà 2MT Đường Huỳnh Văn Bánh - 4.4x12m - 4 tầng - 16,8 tỷ - Phú Nhuận","Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",20 m,"4,4 m",Chưa Xác Thực,,11/11/2024,26/11/2024,Nha Mat Pho
78,Tin VIP Bạc,41494711,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-thi-minh-khai-phuong-ben-nghe/ban-khach-san-q1-12x22-cn-140m2-ham-7-tang-hdt-350tr-chi-98-ty-pr41494711,140 m²,98 tỷ,,7 tầng,12 phòng,12 phòng,Sổ đỏ/ Sổ hồng,,"Bán khách sạn Nguyễn Thị Minh Khai, Bến Nghé Q1 (12x22 Cn 140m2) hầm + 7 tầng HĐT 350tr chỉ 98 tỷ","Đường Nguyễn Thị Minh Khai, Phường Bến Nghé, Quận 1, Hồ Chí Minh",,12 m,Chưa Xác Thực,,11/11/2024,18/11/2024,Nha Mat Pho
79,Tin VIP Bạc,40451610,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-hung-dao-phuong-nguyen-cu-trinh/toa-goc-2mt-quan-1-8-5x20m-7-tang-hdt-200-trieu-gia-60-ty-pr40451610,153 m²,60 tỷ,,7 tầng,,,,,"Tòa nhà góc 2MT Trần Hưng Đạo, Quận 1 - 8.5x18m - 7 Tầng - HĐT 200 triệu - Giá 60 tỷ","Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",,"8,5 m",Chưa Xác Thực,,11/11/2024,18/11/2024,Nha Mat Pho
80,Tin VIP Bạc,41496999,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-tri-phuong-1-phuong-14-5/chinh-chu-ha-gia-5-ty-ban-gap-tien-gia-chi-con-16-9-ty-dt-4x15m-1-lau-pr41496999,59 m²,"16,9 tỷ",,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,"Chính chủ hạ giá 5 tỷ bán gấp mặt tiền Nguyễn Tri Phương, giá chỉ còn 16,9 tỷ. DT: 4x15m, 1 lầu","Đường Nguyễn Tri Phương, Phường 14, Quận 10, Hồ Chí Minh",,,Chưa Xác Thực,,11/11/2024,18/11/2024,Nha Mat Pho
81,Tin VIP Bạc,41495794,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-thai-binh-phuong-nguyen-thai-binh/ban-165-quan-1-dt-4x18m-tret-3-lau-st-hdt-thue-60tr-th-gia-26-ty-tl-pr41495794,72 m²,26 tỷ,,4 tầng,6 phòng,7 phòng,Sổ đỏ/ Sổ hồng,,"Bán nhà 165 Nguyễn Thái Bình Quận 1. DT: 4x18m, nhà trệt 3 lầu ST, HĐT thuê 60tr/th giá 26 tỷ TL","Đường Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh",10 m,4 m,Chưa Xác Thực,,11/11/2024,21/11/2024,Nha Mat Pho
82,Tin VIP Bạc,41371451,https://batdongsan.com.vn/ban-nha-mat-pho-duong-hoang-van-thu-phuong-8-13/-tien-phu-nhuan-4-tang-chi-16ty-pr41371451,47 m²,16 tỷ,,4 tầng,,,Sổ đỏ/ Sổ hồng,,"Mặt tiền Hoàng Văn Thụ, Phú Nhuận, 4 tầng chỉ 16tỷ","Đường Hoàng Văn Thụ, Phường 8, Phú Nhuận, Hồ Chí Minh",,,Chưa Xác Thực,,11/11/2024,18/11/2024,Nha Mat Pho
83,Tin VIP Bạc,41495278,https://batdongsan.com.vn/ban-nha-mat-pho-duong-huong-lo-2-phuong-binh-tri-dong/-moi-full-noi-that-giap-q-tan-phu-co-thang-may-duc-5-5-tam-4-1x26m-tien-ma-2-pr41495278,"106,6 m²","9,8 tỷ",Đông,5 tầng,8 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Nhà mới full nội thất giáp Q. Tân Phú có thang máy đúc 5,5 tấm 4,1x26m mặt tiền Mã Lò, Hương Lộ 2","Đường Hương lộ 2, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",30 m,"4,1 m",Chưa Xác Thực,Đông,11/11/2024,18/11/2024,Nha Mat Pho
84,Tin VIP Bạc,41490542,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-cuu-van-phuong-17-1/dep-2-tien-sang-thuong-hieu-binh-thanh-dt-4x23m-3-tang-5-pn-vuong-vuc-pr41490542,92 m²,22 tỷ,,3 tầng,5 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,"Đẹp! 2 mặt tiền sang, thương hiệu Nguyễn Cửu Vân - Bình Thạnh. DT 4x23m - 3 tầng - 5 PN - vuông vức","Đường Nguyễn Cửu Vân, Phường 17, Bình Thạnh, Hồ Chí Minh",,,Chưa Xác Thực,,11/11/2024,18/11/2024,Nha Mat Pho
85,Tin VIP Bạc,41494925,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-thi-nhung-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/ban-5x20m-gia-chi-26-5-ty-hoan-en-full-noi-that-pr41494925,100 m²,"26,5 tỷ",Bắc,6 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Bán nhà mặt phố Nguyễn Thị Nhung Vạn Phúc City 5x20m giá chỉ 26,5 tỷ hoàn thiện - full nội thất","Dự án KĐT Vạn Phúc City, Đường Nguyễn Thị Nhung, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",35 m,5 m,Chưa Xác Thực,Bắc,11/11/2024,18/11/2024,Nha Mat Pho
86,Tin VIP Bạc,41494846,https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-quy-don-1-phuong-14-1/dinh-cu-uc-ban-nh-tien-14-quan-3-2-tang-4-2m-x-12m-gia-11-2-ty-tl-pr41494846,48 m²,"11,2 tỷ",,2 tầng,3 phòng,,Sổ đỏ/ Sổ hồng,,"Định cư Úc - bán nhanh nhà mặt tiền Lê Quý Đôn Phường 14 Quận 3, 2 tầng 4.2m x 12m - giá 11.2 tỷ TL","Đường Lê Quý Đôn, Phường 14, Quận 3, Hồ Chí Minh",,,Chưa Xác Thực,,11/11/2024,18/11/2024,Nha Mat Pho
