,Loại tin,Mã tin,Link,Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Title,Address,Đường vào,Mặt tiền,Check,Ngày đăng,Ngày hết hạn,Category
170,Tin VIP Bạc,38187292,https://batdongsan.com.vn/ban-dat-duong-bung-ong-thoan-phuong-phu-huu-2/chinh-chu-ban-lo-dep-gia-re-mat-tien-thoan-pr38187292,103 m²,"7,8 tỷ",Tây - Bắc,,,,Sổ đỏ/ Sổ hồng.,,Tôi là chính chủ kẹt tiền cần bán gấp lô đất đẹp giá rẻ mặt tiền đường Bưng Ông Thoàn Quận 9,"Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh",30 m,"4,5 m",TIN XÁC THỰC,04/11/2024,14/11/2024,Ban Dat
171,Tin VIP Bạc,41420024,https://batdongsan.com.vn/ban-dat-duong-lien-khu-4-5-phuong-binh-hung-hoa-b/ban-4-5-tan-gia-4-5-ty-80-m2-phap-ly-day-du-pr41420024,80 m²,"4,5 tỷ",Tây,,,,Sổ đỏ/ Sổ hồng,,"Bán đất đường Liên Khu 4-5, bình tân, giá 4,5 tỷ, 80m2, pháp lý đầy đủ","Đường Liên khu 4-5, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",7 m,4 m,Chưa Xác Thực,04/11/2024,14/11/2024,Ban Dat
172,Tin thường,41432129,https://batdongsan.com.vn/ban-dat-duong-le-van-thinh-phuong-binh-trung-dong/ban-hem-o-to-gan-nga-3-va-nguyen-duy-trinh-pr41432129,82 m²,"6,1 tỷ",Đông,,,,Sổ đỏ/ Sổ hồng,,Bán đất hẻm ô tô gần ngã 3 đường Lê Văn Thịnh và đường Nguyễn Duy Trinh,"Đường Lê Văn Thịnh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",5 m,6 m,TIN XÁC THỰC,05/11/2024,15/11/2024,Ban Dat
173,Tin thường,41470684,https://batdongsan.com.vn/ban-dat-phuong-an-phu/b-190m-tho-cu-hem-4m-sat-ben-thao-dien-gia-17-5-ty-pr41470684,187 m²,"17,5 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,"Bán 187m2 đất thổ cư hẻm 4m phường An Phú, sát bên Thảo Điền giá 17.5 tỷ","Phường An Phú, Quận 2, Hồ Chí Minh",4 m,,TIN XÁC THỰC,08/11/2024,18/11/2024,Ban Dat
174,Tin thường,40922454,https://batdongsan.com.vn/ban-dat-duong-truong-van-bang-phuong-thanh-my-loi/ban-xay-cao-6-tang-khu-hanh-chinh-quan-2-dt-160m2-gia-chi-30-ty-4-so-hong-rieng-pr40922454,160 m²,"32,8 tỷ",Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,"Bán đất xây cao 6 tầng khu hành chính Thạnh Mỹ Lợi Quận 2, DT 160m2 giá chỉ 32 tỷ 8, sổ hồng riêng","Đường Trương Văn Bang, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",12 m,8 m,TIN XÁC THỰC,07/11/2024,17/11/2024,Ban Dat
175,Tin thường,39531583,https://batdongsan.com.vn/ban-dat-duong-so-3-phuong-hiep-binh-chanh/ban-18x13m-khu-biet-thu-dan-chanh-pr39531583,203 m²,"14,2 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,"Bán đất (10*21m) khu biệt thự Bình Dân, Hiệp Bình Chánh, TP Thủ Đức","Đường Số 3, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",,,TIN XÁC THỰC,06/11/2024,16/11/2024,Ban Dat
176,Tin thường,41358025,https://batdongsan.com.vn/ban-dat-duong-28-phuong-linh-dong/ban-gap-lo-mat-tien-xe-tai-ngay-vanh-dai-2-sieu-hot-pr41358025,"72,2 m²","5,2 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,Bán gấp lô đất mặt tiền đường xe tải ngay vành đai 2 linh đông siêu hot: 0933 352 ***,"Đường 28, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",7 m,"4,3 m",TIN XÁC THỰC,11/11/2024,21/11/2024,Ban Dat
177,Tin thường,40920631,https://batdongsan.com.vn/ban-dat-duong-tinh-lo-15-xa-phu-hoa-dong/cat-ban-nhanh-162m2-mat-tien-15-cu-chi-pr40920631,162 m²,"1,45 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Cắt lỗ bán nhanh 162m2 đất mặt tiền Tỉnh Lộ 15, Phú Hòa Đông, Củ Chi","Đường Tỉnh lộ 15, Xã Phú Hòa Đông, Củ Chi, Hồ Chí Minh.",,6 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
178,Tin thường,41377820,https://batdongsan.com.vn/ban-dat-xa-phuoc-thanh/gia-soc-855-trieu-206m2-tho-so-san-mat-tien-duong-nhua-cu-chi-pr41377820,206 m²,855 triệu,,,,,Sổ đỏ/ Sổ hồng.,,"Giá sốc 855 triệu/206m2 đất thổ, sổ sẵn, mặt tiền đường nhựa Phước Thạnh, Củ Chi","Xã Phước Thạnh, Củ Chi, Hồ Chí Minh",12 m,8 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
179,Tin thường,41502661,https://batdongsan.com.vn/ban-dat-pho-nguyen-xi-phuong-26/ban-lo-ngang-hiem-4-8m-duong-truoc-nha-10m-xe-tai-quay-dau-xay-moi-ham-6-tang-gia-ban-13t-pr41502661,100 m²,13 tỷ,,,,,Sổ đỏ/ Sổ hồng,,"Bán lô đất ngang hiếm 4,8m đường trước nhà 10m xe tải quay đầu - xây mới hầm 6 tầng - giá bán 13tỷ","Đường Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",10 m,"4,8 m",Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
180,Tin thường,40534208,https://batdongsan.com.vn/ban-dat-duong-4a-phuong-long-thanh-my/ban-tdc-phuoc-thien-7x21-16m-ngay-vinhomes-q9-pr40534208,147 m²,"6,9 tỷ",Bắc,,,,Sổ đỏ/ Sổ hồng.,,"Bán đất TDC Phước Thiện 7x21m, đường 16m, ngay Vinhomes Q9","Đường 4A, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",16 m,7 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
181,Tin VIP Bạc,41419550,https://batdongsan.com.vn/ban-dat-duong-so-30-phuong-linh-dong/chinh-chu-can-tien-ban-lo-dep-4-6-ty-pham-van-dau-kha-van-can-pr41419550,55 m²,"4,6 tỷ",Bắc,,,,Sổ hồng,,Chính chủ cần tiền bán lô đất đẹp 4.6 tỷ Phạm Văn Đồng đầu Kha Vạn Cân,"Số 30, Linh Đông, Thủ Đức, Hồ Chí Minh","4,5 m",4 m,Chưa Xác Thực,04/11/2024,14/11/2024,Ban Dat
182,Tin VIP Bạc,38678467,https://batdongsan.com.vn/ban-dat-duong-cao-duc-lan-phuong-an-phu/chinh-chu-b-p-tp-thu-tp-hcm-pr38678467,207 m²,Thỏa thuận,Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,Chính chủ bán đất đường Cao Đức Lân P. An Phú Tp. Thủ Đức - TP. HCM,"Đường Cao Đức Lân, Phường An Phú, Quận 2, Hồ Chí Minh",,,Chưa Xác Thực,04/11/2024,14/11/2024,Ban Dat
183,Tin VIP Bạc,41160906,https://batdongsan.com.vn/ban-dat-duong-so-8-phuong-truong-tho-2/ban-mat-tien-nhua-nhanh-8-p-thu-duc-dt-9-42m-x-26m-chi-15-ty-pr41160906,"246,7 m²",14 tỷ,,,,,Sổ đỏ/ Sổ hồng,,"Bán đất mặt tiền nhựa nhánh đường Số 8, P.Trường Thọ, Thủ Đức. DT 9,42m x 26m chỉ 14 tỷ","Đường Số 8, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",,"9,42 m",TIN XÁC THỰC,04/11/2024,14/11/2024,Ban Dat
184,Tin VIP Bạc,41414049,https://batdongsan.com.vn/ban-dat-duong-le-thi-ha-xa-tan-xuan-5/hot-chinh-chu-mat-tien-lon-2-200m2-trung-tam-huyen-hoc-mon-pr41414049,2.200 m²,58 triệu/m²,,,,,Sổ đỏ/ Sổ hồng,,"Hot - đất chính chủ giá siêu tốt mặt tiền lớn đường Lê Thị Hà (2,200m2) - trung tâm Huyện Hóc Môn","Đường Lê Thị Hà, Xã Tân Xuân, Hóc Môn, Hồ Chí Minh",,20 m,Chưa Xác Thực,04/11/2024,19/11/2024,Ban Dat
185,Tin VIP Bạc,40239213,https://batdongsan.com.vn/ban-dat-duong-so-494-phuong-tang-nhon-phu-a-1/chinh-chu-bn-lo-hem-4m-xe-hoi-nho-vo-duoc-494-qun-9-cu-pr40239213,71 m²,"3,2 tỷ",,,,,Sổ hồng riêng chính chủ,,"Chính chủ bán lô đất hẻm 4m xe hơi nhỏ vào được đường 494 Phường Tăng Nhơn Phú A, Quận 9 cũ","Đường Số 494, Phường Tăng Nhơn Phú A, Thủ Đức, Hồ Chí Minh",4 m,,Chưa Xác Thực,04/11/2024,14/11/2024,Ban Dat
186,Tin VIP Bạc,41337433,https://batdongsan.com.vn/ban-dat-duong-10-phuong-hiep-binh-chanh/co-hoi-dau-tu-nen-du-an-gia-tot-tai-thu-duc-pr41337433,123 m²,15 tỷ,Đông - Nam,,,,Sổ đỏ/ Sổ hồng.,,Cơ hội đầu tư đất nền giá tốt tại Thủ Đức,"Đường 10, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",12 m,7 m,TIN XÁC THỰC,01/11/2024,16/11/2024,Ban Dat
187,Tin VIP Bạc,41387182,https://batdongsan.com.vn/ban-dat-duong-quoc-lo-1k-phuong-linh-xuan/chinh-chu-ban-ngay-gan-cau-vuot-tp-thu-duc-so-hong-pr41387182,"195,4 m²",7 tỷ,,,,,,,"Chính chủ Bán Lô Đất ngay Quốc Lộ 1K- Linh Xuân( gần cầu vượt Linh Xuân) TP. Thủ Đức, Sổ hồng","Đường Quốc lộ 1K, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh","4,5 m",,Chưa Xác Thực,01/11/2024,16/11/2024,Ban Dat
188,Tin VIP Bạc,41378854,https://batdongsan.com.vn/ban-dat-duong-so-1-phuong-long-truong/chinh-chu-can-ban-o-mat-tien-1-quan-9-pr41378854,"221,5 m²",11 tỷ,Nam,,,,Sổ hồng,,"Chính chủ cần bán đất ở mặt tiền đường Số 1, phường Long Trường, Quận 9","Đường Số 1, Phường Long Trường, Quận 9, Hồ Chí Minh",12 m,"11,67 m",Chưa Xác Thực,31/10/2024,15/11/2024,Ban Dat
189,Tin VIP Bạc,41377986,https://batdongsan.com.vn/ban-dat-duong-huynh-tan-phat-phuong-binh-thuan-3/-dep-xay-can-ho-dich-vu-ngay-cho-ly-phuc-man-quan-7-pr41377986,297 m²,Thỏa thuận,,,,,,,ĐẤT ĐẸP XÂY CĂN HỘ DỊCH VỤ - NGAY CHỢ LÝ PHỤC MAN - QUẬN 7 .,"Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Hồ Chí Minh",,10 m,Chưa Xác Thực,31/10/2024,15/11/2024,Ban Dat
190,Tin VIP Bạc,41377145,https://batdongsan.com.vn/ban-dat-duong-thanh-my-loi-phuong-thanh-my-loi/ban-gap-dien-tich-924m2-gia-49-ty-co-nha-cap-2-va-day-20-phong-tro-pr41377145,"785,9 m²",49 tỷ,,,,,Sổ đỏ/ Sổ hồng,,Bán gấp đất diện tích đất 785.9m2 đường Thạnh Mỹ Lợi giá 49 tỷ có nhà cấp 2 và dãy 20 phòng trọ,"86/2, Đường Thạnh Mỹ Lợi, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",,,Chưa Xác Thực,31/10/2024,15/11/2024,Ban Dat
191,Tin VIP Bạc,40222657,https://batdongsan.com.vn/ban-dat-duong-225a-phuong-tan-phu-12/thu-hoi-von-ban-50m2-2-ty-ngay-suoi-tien-va-cho-moi-phu-pr40222657,50 m²,"1,8 tỷ",Đông,,,,Đang chờ sổ,,Bán gấp đất ngay chợ mới Tân Phú,"Đường 225A, Phường Tân Phú, Quận 9, Hồ Chí Minh",10 m,5 m,Chưa Xác Thực,31/10/2024,15/11/2024,Ban Dat
192,Tin VIP Bạc,41376130,https://batdongsan.com.vn/ban-dat-duong-huynh-tan-phat-phuong-phu-thuan-3/ban-tang-nha-tro-dang-cho-thue-co-thu-nhap-25tr-thang-pr41376130,126 m²,Thỏa thuận,,,,,,,BÁN ĐẤT - TẶNG NHÀ TRỌ ĐANG CHO THUÊ CÓ THU NHẬP 25tr/ tháng,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",,"8,3 m",Chưa Xác Thực,31/10/2024,15/11/2024,Ban Dat
193,Tin VIP Bạc,41071806,https://batdongsan.com.vn/ban-dat-duong-nhu-tien-hien-thi-tran-cu-chi/chu-can-ra-gap-lo-ngay-cong-chung-trong-ngay-kdc-dong-duc-nhua-8m-pr41071806,200 m²,Thỏa thuận,,,,,Sổ đỏ/ Sổ hồng,,Chủ cần ra gấp lô đất ngay thị trấn Củ Chi công chứng trong ngày kdc đông đúc đường nhựa 8m,"Đường Nhữ Tiến Hiến, Thị trấn Củ Chi, Củ Chi, Hồ Chí Minh",8 m,10 m,Chưa Xác Thực,30/10/2024,14/11/2024,Ban Dat
194,Tin VIP Bạc,41367001,https://batdongsan.com.vn/ban-dat-duong-an-phu-dong-1-phuong-an-phu-dong-1/b-4x22-mat-tien-01-sat-cho-vuon-lai-gia-4-5-ty-thuong-luong-pr41367001,"56,2 m²","4,5 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Bán đất 4x22m mặt tiền đường An Phú Đông 01, Sát Chợ Vườn Lài, Giá 4.5 Tỷ Thương Lượng","Đường An Phú Đông 1, Phường An Phú Đông, Quận 12, Hồ Chí Minh",,,TIN XÁC THỰC,30/10/2024,14/11/2024,Ban Dat
195,Tin VIP Bạc,38613503,https://batdongsan.com.vn/ban-dat-duong-6-4-phuong-long-binh-3/ban-chinh-chu-da-co-so-hong-rieng-quan-9-pr38613503,"61,2 m²","3,1 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Bán đất chính chủ, đã có sổ hồng riêng Quận 9","Đường 6, Phường Long Bình, Quận 9, Hồ Chí Minh",6 m,6 m,Chưa Xác Thực,29/10/2024,13/11/2024,Ban Dat
196,Tin thường,41503884,https://batdongsan.com.vn/ban-dat-duong-tam-da-phuong-truong-thanh/ban-152m2-gia-6-84-ty-tp-thu-duc-doi-dien-hoc-ngang-8m-pr41503884,152 m²,45 triệu/m²,,,,,Sổ đỏ/ Sổ hồng,,"Bán đất 152m2 giá 6,84 tỷ phường Trường Thạnh TP. Thủ Đức , đối diện trường học ngang 8m","Đường Tam Đa, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",12 m,8 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
197,Tin thường,41239483,https://batdongsan.com.vn/ban-dat-duong-nguyen-tu-nghiem-phuong-binh-trung-tay/ban-mat-tien-duoc-xay-cao-6-tam-dt-121-7m2-gia-11-4-ty-shr-pr41239483,"121,7 m²",12 tỷ,Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,"Bán đất mặt tiền Nguyễn Tư Nghiêm được xây cao 6 tấm, Bình Trưng Tây DT 121.7m2 giá 12 tỷ, SHR","Đường Nguyễn Tư Nghiêm, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",30 m,4 m,Chưa Xác Thực,08/11/2024,18/11/2024,Ban Dat
198,Tin thường,41433791,https://batdongsan.com.vn/ban-dat-phuong-hiep-binh-phuoc/230m2-10x23-view-song-lon-sai-gon-ke-ben-benh-vien-quoc-te-hanh-phuc-cach-ql13-200m-pr41433791,230 m²,Thỏa thuận,,,,,Có sổ hồng riêng.,,230m2(10x23) đất view sông lớn Sài Gòn - Kế bên Bệnh Viện Quốc Tế Hạnh Phúc - Cách QL13 200m - 7ty8,"Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",8 m,10 m,Chưa Xác Thực,05/11/2024,15/11/2024,Ban Dat
199,Tin thường,41503884,https://batdongsan.com.vn/ban-dat-duong-tam-da-phuong-truong-thanh/ban-152m2-gia-6-84-ty-tp-thu-duc-doi-dien-hoc-ngang-8m-pr41503884,152 m²,45 triệu/m²,,,,,Sổ đỏ/ Sổ hồng,,"Bán đất 152m2 giá 6,84 tỷ phường Trường Thạnh TP. Thủ Đức , đối diện trường học ngang 8m","Đường Tam Đa, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",12 m,8 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
200,Tin thường,41432129,https://batdongsan.com.vn/ban-dat-duong-le-van-thinh-phuong-binh-trung-dong/ban-hem-o-to-gan-nga-3-va-nguyen-duy-trinh-pr41432129,82 m²,"6,1 tỷ",Đông,,,,Sổ đỏ/ Sổ hồng,,Bán đất hẻm ô tô gần ngã 3 đường Lê Văn Thịnh và đường Nguyễn Duy Trinh,"Đường Lê Văn Thịnh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",5 m,6 m,TIN XÁC THỰC,05/11/2024,15/11/2024,Ban Dat
201,Tin thường,41470684,https://batdongsan.com.vn/ban-dat-phuong-an-phu/b-190m-tho-cu-hem-4m-sat-ben-thao-dien-gia-17-5-ty-pr41470684,187 m²,"17,5 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,"Bán 187m2 đất thổ cư hẻm 4m phường An Phú, sát bên Thảo Điền giá 17.5 tỷ","Phường An Phú, Quận 2, Hồ Chí Minh",4 m,,TIN XÁC THỰC,08/11/2024,18/11/2024,Ban Dat
202,Tin thường,40922454,https://batdongsan.com.vn/ban-dat-duong-truong-van-bang-phuong-thanh-my-loi/ban-xay-cao-6-tang-khu-hanh-chinh-quan-2-dt-160m2-gia-chi-30-ty-4-so-hong-rieng-pr40922454,160 m²,"32,8 tỷ",Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,"Bán đất xây cao 6 tầng khu hành chính Thạnh Mỹ Lợi Quận 2, DT 160m2 giá chỉ 32 tỷ 8, sổ hồng riêng","Đường Trương Văn Bang, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",12 m,8 m,TIN XÁC THỰC,07/11/2024,17/11/2024,Ban Dat
203,Tin thường,39531583,https://batdongsan.com.vn/ban-dat-duong-so-3-phuong-hiep-binh-chanh/ban-18x13m-khu-biet-thu-dan-chanh-pr39531583,203 m²,"14,2 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,"Bán đất (10*21m) khu biệt thự Bình Dân, Hiệp Bình Chánh, TP Thủ Đức","Đường Số 3, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",,,TIN XÁC THỰC,06/11/2024,16/11/2024,Ban Dat
204,Tin thường,41358025,https://batdongsan.com.vn/ban-dat-duong-28-phuong-linh-dong/ban-gap-lo-mat-tien-xe-tai-ngay-vanh-dai-2-sieu-hot-pr41358025,"72,2 m²","5,2 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,Bán gấp lô đất mặt tiền đường xe tải ngay vành đai 2 linh đông siêu hot: 0933 352 ***,"Đường 28, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",7 m,"4,3 m",TIN XÁC THỰC,11/11/2024,21/11/2024,Ban Dat
205,Tin thường,40920631,https://batdongsan.com.vn/ban-dat-duong-tinh-lo-15-xa-phu-hoa-dong/cat-ban-nhanh-162m2-mat-tien-15-cu-chi-pr40920631,162 m²,"1,45 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Cắt lỗ bán nhanh 162m2 đất mặt tiền Tỉnh Lộ 15, Phú Hòa Đông, Củ Chi","Đường Tỉnh lộ 15, Xã Phú Hòa Đông, Củ Chi, Hồ Chí Minh.",,6 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
206,Tin thường,41377820,https://batdongsan.com.vn/ban-dat-xa-phuoc-thanh/gia-soc-855-trieu-206m2-tho-so-san-mat-tien-duong-nhua-cu-chi-pr41377820,206 m²,855 triệu,,,,,Sổ đỏ/ Sổ hồng.,,"Giá sốc 855 triệu/206m2 đất thổ, sổ sẵn, mặt tiền đường nhựa Phước Thạnh, Củ Chi","Xã Phước Thạnh, Củ Chi, Hồ Chí Minh",12 m,8 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
207,Tin thường,41502661,https://batdongsan.com.vn/ban-dat-pho-nguyen-xi-phuong-26/ban-lo-ngang-hiem-4-8m-duong-truoc-nha-10m-xe-tai-quay-dau-xay-moi-ham-6-tang-gia-ban-13t-pr41502661,100 m²,13 tỷ,,,,,Sổ đỏ/ Sổ hồng,,"Bán lô đất ngang hiếm 4,8m đường trước nhà 10m xe tải quay đầu - xây mới hầm 6 tầng - giá bán 13tỷ","Đường Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",10 m,"4,8 m",Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
208,Tin thường,40534208,https://batdongsan.com.vn/ban-dat-duong-4a-phuong-long-thanh-my/ban-tdc-phuoc-thien-7x21-16m-ngay-vinhomes-q9-pr40534208,147 m²,"6,9 tỷ",Bắc,,,,Sổ đỏ/ Sổ hồng.,,"Bán đất TDC Phước Thiện 7x21m, đường 16m, ngay Vinhomes Q9","Đường 4A, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",16 m,7 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
209,Tin thường,41376854,https://batdongsan.com.vn/ban-dat-duong-so-8-phuong-truong-tho-2/ban-8-123m-4-7x25-fun-hem-o-to-gia-7-5ty-pr41376854,123 m²,"7,5 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,"Bán đất Trường Thọ đường số 8 123m 4,7x25m full thổ hẻm ô tô giá 7,5 tỷ","Đường Số 8, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",8 m,"4,7 m",Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
210,Tin thường,41498990,https://batdongsan.com.vn/ban-dat-phuong-phuoc-long-b/an-tang-nha-200m2-ngang-10m-gan-do-xuan-hop-quan-9-sieu-hiem-gia-chi-9-ty-pr41498990,200 m²,9 tỷ,,,,,,,"Bán đất tặng nhà, 200m2, ngang 10m, gần Đỗ Xuân Hợp, Phước Long B, Quận 9, siêu hiếm giá chỉ 9 tỷ","Phường Phước Long B, Quận 9, Hồ Chí Minh",,10 m,Chưa Xác Thực,11/11/2024,21/11/2024,Ban Dat
211,Tin thường,41503859,https://batdongsan.com.vn/ban-dat-duong-tay-lan-phuong-tan-tao/chinh-chu-ban-nhanh-lo-67-8m2-o-kdc-so-hong-san-cong-chung-sang-ten-ngay-trong-ngay-pr41503859,"67,8 m²","4,07 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Chính chủ bán nhanh lô đất 67,8m2 ở KDC Tây Lân - sổ hồng sẵn, công chứng sang tên ngay trong ngày","Hẻm 111, Đường Tây Lân, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",,,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
212,Tin thường,39325825,https://batdongsan.com.vn/ban-dat-duong-thao-dien-phuong-thao-dien/duy-nhat-bt-compound-fideco-2-mat-tien-7x20-cn-du-ngay-nguyen-van-huong-32-ty-pr39325825,140 m²,"30,9 tỷ",,,,,,,"Duy nhất! Đất BT ngay compound Fideco 2 MT 7x20m CN đủ ngay Nguyễn Văn Hưởng, Thảo Điền 30.9 tỷ","Đường Thảo Điền, Phường Thảo Điền, Quận 2, Hồ Chí Minh",12 m,,Chưa Xác Thực,12/11/2024,27/11/2024,Ban Dat
213,Tin thường,41319185,https://batdongsan.com.vn/ban-dat-duong-bung-ong-thoan-phuong-phu-huu-2/-kdc-van-phat-80-84m2-gia-4-35-ti-pr41319185,80 m²,"4,35 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Đất KDC Vạn Phát Đạt đường Bưng Ông Thoàn 80m2, 84m2 giá 4.35 tỷ","Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10 m,5 m,Chưa Xác Thực,06/11/2024,22/11/2024,Ban Dat
214,Tin thường,39745778,https://batdongsan.com.vn/ban-dat-phuong-binh-an/duy-nhat-bt-2-mat-tien-compound-mo-dong-nam-tai-loc-truc-dien-cv-gan-song-162m2-chi-33-ty-pr39745778,162 m²,33 tỷ,Đông - Nam,,,,,,Duy nhất! Đất BT 2 mặt tiền Compound mở Đông Nam tài lộc trực diện CV gần sông - 162m2 - Chỉ 33 tỷ,"Phường Bình An, Quận 2, Hồ Chí Minh",,10 m,Chưa Xác Thực,12/11/2024,27/11/2024,Ban Dat
215,Tin thường,41004087,https://batdongsan.com.vn/ban-dat-duong-nguyen-van-huong-phuong-thao-dien/chi-225tr-m2-2-mat-tien-10x20-khu-compound-villa-dau-tu-de-o-pr41004087,200 m²,45 tỷ,,,,,,,Chỉ 225tr/m2: Đất 2 mặt tiền 10x20 khu Compound Villa Nguyễn Văn Hưởng - Thảo Điền: Đầu tư / để ở,"Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",,10 m,Chưa Xác Thực,12/11/2024,27/11/2024,Ban Dat
216,Tin thường,41005600,https://batdongsan.com.vn/ban-dat-duong-vo-truong-toan-phuong-thao-dien/cuc-pham-goc-2-mat-tien-10x15m-gan-quoc-te-masteri-lumiere-pr41005600,150 m²,43 tỷ,,,,,,,Cực phẩm! Đất góc 2 mặt tiền 10x15m Võ Trường Toản Thảo Điền gần trường quốc tế - Masteri - Lumiere,"Đường Võ Trường Toản, Phường Thảo Điền, Quận 2, Hồ Chí Minh",,,Chưa Xác Thực,12/11/2024,27/11/2024,Ban Dat
217,Tin thường,41503563,https://batdongsan.com.vn/ban-dat-phuong-an-lac-6/b-lo-dep-mat-tien-ben-tau-kenh-le-dinh-duong-dt-dep-23x48m-tho-cu-100-binh-t-pr41503563,1.048 m²,55 tỷ,Đông,,,,Sổ đỏ/ Sổ hồng,,"Bán lô đất đẹp mặt tiền bến tàu kênh Lê Đình Dương, DT đẹp 23x48m, thổ cư 100%, An Lạc, Bình Tân","Phường An Lạc, Bình Tân, Hồ Chí Minh",,23 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
218,Tin thường,41093218,https://batdongsan.com.vn/ban-dat-duong-ha-huy-giap-phuong-thanh-loc-3/chinh-chu-can-ban-mat-tien-tnh-q-12-so-san-gia-tot-lh-pr41093218,195 m²,75 triệu/m²,,,,,Sổ hồng riêng,,"Chính chủ cần bán đất mặt tiền Hà Huy Giáp - Thạnh Lộc - Q. 12; Sổ sẵn, giá tốt LH 0976 391 ***","Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",,,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
219,Tin thường,41378575,https://batdongsan.com.vn/ban-dat-xa-nhi-binh/-hoc-mon-ngang-12m-hau-10m-x-dai-28m-duong-nhua-thong-xe-container-co-gia-tot-pr41378575,342 m²,"7,8 tỷ",,,,,Sổ hồng,,"Đất Xã Nhị Bình, Hóc Môn; Ngang 12m (hậu 10m) x Dài 28m; Đường nhựa thông xe container; Có giá tốt","Xã Nhị Bình, Hóc Môn, Hồ Chí Minh",,,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
